F1,College or VP,Program Name,Description,URL,Inclusive Excellence area,Notes,constituent group
128,Division of Student Affairs,Black Organizations Council (BOC),"The Black Organizations Council (BOC) is the umbrella organization for the predominately African American organizations at Virginia Tech. The council serves as a liaison between the university administration, constituent organizations and the community. _ Read More...",https://gobblerconnect.vt.edu/organization/BOC,Campus Climate and Intergroup Relations,,
159,Division of Student Affairs,Black Cultural Center Alumni Advisory Board (BCCAAB),"The BCC Alumni Advisory Board is comprised of Virginia Tech alumni who were involved in and benefited from services and programs at the Black Cultural Center. These alumni are committed to giving their time and financial resources to support BCC programs and services, as well as the students who use the BCC. Kristen Swanson Houston, kshouston@ vt.edu",,,,
135,Division of Student Affairs,Black History Month,"February is Black History Month and a time to commemorate African-Americans who have changed the world. Celebrating Black History began in 1926, when Carter G. Woodson, Ph.D., a Harvard graduate, initiated Negro History Week. Woodson, an historian, chose the second week in February because it included the birthdays of Frederick Douglass and Abraham Lincoln.",http://www.mps.vt.edu/cultural_celebrations/black_history_month/index.html,Campus Climate and Intergroup Relations,,
176,Division of Student Affairs,Donning of the Kente,Donning of the Kente is a commencement celebration ceremony that recognizes and celebrates Black graduates. Multicultural Programs & Services mps@vt.edu,,,,
129,Division of Student Affairs,Jewish Student Union (JSU),"JSU serves as an umbrella organization for the Jewish student organizations on campus. JSU's mission includes providing an open forum for communication and serving as an advocate/liaison between Jewish students, administration and the campus community. _ Read More...",https://gobblerconnect.vt.edu/organization/JSU,Campus Climate and Intergroup Relations,,
136,Division of Student Affairs,Jewish Cultural Month,"Through fascinating speakers, moving presentations, and much laughter, Jewish Cultural Month educates and engages both Jews and non-Jews about a complex and beautiful religion and people.",http://www.mps.vt.edu/cultural_celebrations/jewish_cultural_month/index.html,Campus Climate and Intergroup Relations,,
171,Division of Student Affairs,Aliyah Ceremony,Aliyah is a baccalaureate ceremony and celebration of achievement for Jewish undergraduate and graduate students. Multicultural Programs & Services mps@vt.edu,,,,
130,Division of Student Affairs,Latino Association Student Organization (LASO),"Welcome to the website for the Latino Association of Student Organizations! We are glad that you have taken the time to check us out. Feel free to stay up-to-date with everything Latino at Virginia Tech by using our website. The Latino community has grown here at Virginia Tech and we take pride in ensuring that the community's voice is heard not only on campus, but in the surrounding area. We celebrate and embrace our Latino heritage, and make an effort to share it with everybody we interact with. Our organizations work hard to ensure that every student feels a sense of familia by establishing a home away from home through their events and programs. Feel free to look through the website and figure out which organizations interest you. We are sure you will find one you can identify with most. But remember, LASO is here to serve YOU so feel free to contact us with any questions, comments, or concerns.",http://www.laso.org.vt.edu/,Campus Climate and Intergroup Relations,,
132,Division of Student Affairs,Hispanic-Latino Heritage Month,"Hispanic-Latino Heritage Month begins on September 15, the anniversary of independence for five Latin American countries. Learn about the history and culture of the Hispanic-Latino people by attending Virginia Tech sponsored events.",http://www.mps.vt.edu/cultural_celebrations/hispanic-latino_heritage_month/index.html,Campus Climate and Intergroup Relations,,
191,Division of Student Affairs,Sigma Delta Pi Hispanic Honor Society,"The Lambda Psi chapter of Sigma Delta Pi is a collegiate Hispanic Honor Society that hosts a recognition ceremony for Hispanic/Latino graduates, and celebrates Hispanic/Latino achievement at Virginia Tech. Dr. Sarah Sierra ssierra2@vt.edu",,,,
133,Division of Student Affairs,LGBT History Month,"LGBT History Month is a month-long observance of Lesbian, Gay, Bisexual, and Transgender History. It includes reflection of the LGBT Social Justice Movement with roots stemming from what is commonly known as the Civil Rights Movement.",http://www.mps.vt.edu/cultural_celebrations/LGBT_history_month/index.html,Campus Climate and Intergroup Relations,,
182,Division of Student Affairs,Lavender Ceremony,"Virginia Tech’s Lavender Ceremony recognizes lesbian, gay, transgender, and bisexual students and their allies who are receiving their undergraduate or graduate degree. This special celebration honors students from all majors and disciplines, and traditionally occurs two days before spring commencement. Graduates receive a unique rainbow cord that can be worn with pride with their academic regalia. LGBT Caucus lgbtcaucus@vt.edu",,,,
183,Division of Student Affairs,HokiePRIDE,"HokiePRIDE’s mission is to work to promote an environment of equality, understanding, and harmony for people of all sexual orientations, sexualities, gender identities and expressions by providing a LGBT Resource Center and campus-wide programs to raise awareness, community visibility, and increase support. HokiePRIDE maintains ties with the two other organizations on campus dedicated to LGBTQ awareness and support: the graduate organization, Queer Grads & Allies, and the LGBT Caucus for faculty and staff. Multicultural Programs and Services mps@vt.edu",,,,
186,Division of Student Affairs,Native@VT,"Native@VT is a student organization that serves as a union for Native American students as well as a means for the Virginia Tech community to learn more about Native American culture and history. Native@VT strives to foster an awareness of Native presence and culture at Virginia Tech and to uplift the motto Ut Prosim. It is not necessary to have a certain blood quanta, Federal Recognition, or tribal affiliation in order to participate in Native@VT events. Sam Cook, sacook2@vt.edu.",,,,
134,Division of Student Affairs,American Indian Heritage Month,LGBT History Month spans from October 1-31 and is a time to reflect and honor those LGBT figures and events that have informed the current socio-cultural climate while engaging in dialogue that frames a plan for how to reinforce a momentum of change.,http://www.mps.vt.edu/cultural_celebrations/american_indian_heritage_month/index.html,Campus Climate and Intergroup Relations,,
126,Division of Student Affairs,Safe Zone,"Established in 1998, the Safe Zone program was created as a collaborative effort between the Dean of Students, the Lesbian Gay Bisexual Transgender Alliance (LGBTA), the Lesbian Gay Bisexual Transgender Caucus (LGBT Caucus), and the Office of Diversity and Inclusion (formerly the Office of Equal Opportunity). Now coordinated through Multicultural Programs and Services, the Safe Zone program exists to educate the Virginia Tech community on topics related to the LGBTQ community. Safe Zones are members of the program who are committed to providing a more inclusive and accepting environment for lesbian, gay, bisexual, transgender, and questioning communities and their allies. For additional information, please contact Tricia Smith at pssmith@vt.edu",http://www.mps.vt.edu/programs_services/index.html,Campus Climate and Intergroup Relations,,
,Division of Student Affairs,Tech DREAMers,"The mission of Tech DREAMers is to foster a community inclusive of DREAMers at Virginia Tech by: advocating and educating others as to what DREAMers are, making resources available to all DREAMers that make higher education more obtainable, and advocating for immigration reform both at the state and federal level.     ",https://gobblerconnect.vt.edu/organization/TechDREAMers/about,Campus Climate and Intergroup Relations,,
153,Division of Student Affairs,Career Services Multicultural Outreach,"Career Services assists students with a variety of career concerns, from searching for a major to gaining career-related experience to conducting a job search or applying to graduate/professional schools. Students from all backgrounds are encouraged to take advantage of all the resources and services provided in Smith Career Center. Johanna Smith johannas@ vt.edu",,,,
155,Division of Student Affairs,Cook Counseling Center,"Thomas E. Cook Counseling Center provides individual counseling and group counseling for enrolled undergraduate and graduate students at Virginia Tech. Consultation and outreach services are provided for Virginia Tech faculty, staff, and student organizations. Christopher Flynn flynnc@vt.edu",,,,
185,Division of Student Affairs,MLK Celebrations,"The Virginia Tech MLK Celebration honors the legacy of Dr. Martin Luther King, Jr. It is held the week of the MLK Holiday. The celebration in January includes a K-12 Poster and Essay Contest, a community breakfast, service projects, and features a university celebration to honor Dr. King’s legacy.",,,,
163,Division of Student Affairs,Principles of Community Speakers Series,The Principles of Community Speakers Series provide opportunities for the campus community to increase their knowledge and awareness of diversity topics and how they impact higher education. diversity@vt.edu,,,,
125,Division of Student Affairs,Services for Students with Disabilities,Services for Students with Disabilities exists to assist students with disabilities and problem-solve personal and environmental issues that may interfere with full access to academics and/or hinder academic performance. SSD offers a wealth of services to students with disabilities.,http://www.ssd.vt.edu/,Access and Success,,
158,Division of Student Affairs,Veteran and Military Student Support Services,"Virginia Tech is committed to facilitating access, transition, and academic achievement for undergraduate and graduate veteran and military students at our Blacksburg and satellite campuses; increasing faculty, staff, student and community awareness of veteran and military student issues; and enhancing post-baccalaureate education and employment opportunities for students by providing outreach and support. For information on support services and programming for veteran and military students visit www.veterans@vt.edu. Barb Weimerskirch, bmweimer@ vt.edu, 540-231-5499. Please see information on the Office for Veterans Services under Scholarships. Veterans@VT is a chapter of the Student Veterans of American national organization. veteran@vt.edu.",,,,
205,Division of Student Affairs,Office of Veterans Services,"The Office of Veterans Services, located in 130 Student Services Building is the VT site for information and paperwork relating to the GI Bill compliance and paperwork. Keshia Pyles, keshiap@vt.edu",,,,
120,Finance,Supplier Diversity,"In complete alignment with diversity initiatives across its campus and the commonwealth, Virginia Tech is committed to the establishment, preservation, and strengthening of small, women-owned, and minority-owned (SWAM) businesses. The university’s purchasing staff strives to employ well developed business processes that provide training, information, and an established framework for conducting procurement to those who engage in delegated small-purchasing. We seek to work with and communicate to the delegated purchasing community on a continuing basis to emphasize the importance of diversity in procurement.",http://www.procurement.vt.edu/Department/MinoritySum.html,Institutional Infrastructure,,
,Finance,SWaM Outreach,This initiative will Increase outreach to the campus community to enhance knowledge and understanding of opportunities and processes for achieving the university approved SWaM goals.,,Institutional Infrastructure,,
,Finance,Establishment of an Administrative Internship Program,This initiative is an innovative way to increase the employment of talented professionals from diverse backgrounds while also providing program participants a unique opportunity to enhance their professional skills in academic administration,,Access and Success; Campus Climate and Intergroup Relations,,
,Finance,Diversity Training for Departments Reporting to Vice President for Finance,This initiative will Identify and implement diversity training programs and seminars for all departments reporting to the VP for Finance.,,Education and Scholarship,,
,Outreach and International Affairs,International Spouse Support Program,"This initiative will extend an invitation to spouses of international graduate students to study English at the Language and Culture Institute (VTLCI) free of tuition (or, alternatively, at a VT employee rate of $50 per academic class per term), plus textbook charges.",,Access and Success; Education and Scholarship; Campus Climate and Intergroup Dialogue,,
,Outreach and International Affairs,Scholarship for Underrepresented Populations Admissions and Study Abroad,"This initiative will provide hard dollar scholarship funding to Virginia Tech’s underrepresented student populations who are participating in study abroad programs. Specific scholarship funds will also be set aside to assist TRiO students who have chosen to come to Virginia Tech to pursue undergraduate degrees, either as incoming freshmen or as transfer students from community colleges both in and out of the state.",,Access and Success; Education and Scholarship; Campus Climate and Intergroup Dialogue; Institutional Infrastructure,,
,Outreach and International Affairs,Elevate Women and Gender Studies Discussion Series,"This initiative will elevate the Woman and Gender Studies Discussion Series to increase impact and visibility of Virginia Tech’s gender and development expertise, student awareness of international gender issues, and involvement of international students. ",,Education and Scholarship,,
117,Outreach and International Affairs,Education Abroad,"When students of all backgrounds and disciplines explore, learn, and engage with other cultures, they begin to challenge their assumptions, broaden their perspectives, and understand what it means to become responsible citizens of their nation and of the world. As Paul Knox, University Distinguished Professor and Senior Fellow for International Advancement, wrote in ""A Plan for a New Horizon, Envisioning Virginia Tech 2012-18,"": As citizens in a global community, our students can only benefit from access to and immersion in rich, cultural experiences; therefore, we will seek to ensure that opportunities for international engagement such as study abroad are viable for as many students as possible.",http://www.educationabroad.vt.edu/,Education and Scholarship,,
118,Outreach and International Affairs,Language and Culture Institute,"The Virginia Tech Language and Culture Institute provides language-related programs and services for academic and professional development. Through its work, the institute contributes to the university's diversity and intellectual capacity by helping to attract the best and brightest international students, scholars, and professionals to our community. Part of Virginia Tech Outreach and International Affairs, the institute has locations in Blacksburg at the main Virginia Tech campus, in the National Capital Region, and at Radford University. The institute hosts over 500 students per year from more than 30 countries spanning the globe, served by 75 professional faculty, instructors, and staff.",https://www.lci.vt.edu/,Education and Scholarship,,
119,Outreach and International Affairs,Upward Bound/Talent Search,"Talent Search and Upward Bound provide preparation and tutoring in English, mathematics, science, foreign language, SAT prep, ACT prep, study and test- taking skills, career planning, time management, communication skills, problem solving, and more...",http://www.outreach.vt.edu/ForEducators/K-12_outreach.aspx,Access and Success,,
116,Outreach and International Affairs,Women and Gender in International Development,"Our mission is to work towards gender equality in development by promoting gender sensitivity in every OIRED project and ensuring that women benefit. We believe that development is achieved most effectively when it is inclusive, equitable, and based on the priorities of local groups. As a learning community and academic resource, we seek to build capacity to address gender disparities in the areas of agriculture, natural resource management, education, food security, health and nutrition, and water. The WGD program works collaboratively with VT faculty and students, partner organizations around the world, and other stakeholders, conducting interdisciplinary research on gender issues to increase opportunities for women while achieving the technical goals of our projects.",http://www.oired.vt.edu/wgd/,Education and Scholarship,,
121,Research,"Strengthening Your Grant Proposal: Building in Quality Education, Outreach and Diversity Components","Education, outreach and diversity are key review criteria at NSF and other funding agencies. This workshop will identify VT resources--people and programs--that researchers can use to build these critical components into their grant proposals. Note: This workshop meets the elective requirement for the Virginia Tech Research Administrator Level II Certificate Program.",http://www.research.vt.edu/professional-development/events/2013-09-16/strengthening-your-grant-proposal-workshop-broader-impacts-criterion,Education and Scholarship,,
,Research,VT-IMSD (Initiative for Maximizing Student Development Program),"Developing a sense of community amongst underrepresented students has been a critically important attribute of successful recruitment and retention of minority students in higher education. Such community building activities are not specifically funded by NIH in the IMSD project so a partnership between IMSD, OVPR, and the Fralin Institute for Life Sciences will provide resources to respond to the social and cultural needs of students that facilitates success at the undergraduate and graduate level.",,Access and Success,,
,Research,Diversity Competencies and Professional Development,"The Office of the Vice President for Research will solicit participants for the next series of classes offered by UOPD and will provide financial support for participants. In addition, OVPR will work with the supervisor of each participant to fund incentives or recognition that is tailored to the motivations of the participant. This approach is designed to reduce barriers to participation and to provide flexible recognition that is aligned with the employee’s professional development plan.",,Education and Scholarship,,
,Senior Vice-President and Provost,Promote Inclusive Pedagogy,"The Senior Vice President and Provost, working with the vice provosts, will assemble a committee to review options for promoting inclusive pedagogy.  The committee will include Peter Doolittle (CIDER), Michelle James Deramo and Alicia Cohen (Diversity Development Institute), Rachel Holloway and Jack Finney (Vice Provosts), Karen DePauw (Vice President and Dean for Graduate Education) and others to be identified.",,Education and Scholarship,,
,Senior Vice-President and Provost,Inclusion Scholars and Program Leaders,"The Office of the Senior Vice President and Provost will assemble a group of faculty who are inclusion scholars or program leaders.  The intention is to involve directors of the following programs: Appalachian Studies, Africana Studies, Women’s and Gender Studies, Native American Studies, International Studies, Religion and Culture, representatives of budding programs (e.g., Judaic Studies, Hispanic/Latino(a) Studies, Disabilities Studies), Race and Social Policy Research Center, and others to be identified.",,Campus Climate and Intergroup Relations; Education and Scholarship,,
,Senior Vice-President and Provost,National Center for Faculty Development and Diversity,"The NCFDD has an institutional membership that provides access to a wide range of online workshops, presentations, and training sessions. This access extends the mentoring opportunities available to our members on campus to those resources available from a nationally prominent organization with memberships from more than 350 universities and colleges.",,Access and Success; Institutional Infrastructure,,
,Senior Vice-President and Provost,Evaluation and Assessment Plan,"Evaluation will proceed in several stages: 1) A Diversity Strategic Plan baseline report will be produced. This report will provide a foundation against which change will be measured. The report will be updated and reviewed annually through 2018, and will inform development of new planning in 2018. The Diversity Strategic Plan includes goals and indicators in all four Inclusive Excellence areas; 2) Measures of accountability will be based upon a thorough analysis of the InclusiveVT open forum on September 29, 2014. These may include greater transparency, more frequent communications, and resource investments in the new model; 3) A report on initiatives, measures, outcomes, and accountability, produced by the Inclusion Coordinators, will serve as a parallel mechanism of assessing effectiveness of the InclusiveVT model (reviewed annually).  ",,Institutional Infrastructure,,
,Senior Vice-President and Provost,Communication Plan,"The InclusiveVT communication plan will leverage and promote a decentralized concept of Inclusion and Diversity across Virginia Tech’s campus. The goals are to take a proactive approach promoting InclusiveVT and it’s initiatives, to be transparent, and communicate all events and activities surrounding inclusion and diversity in the university.  This communication plan will draw information from all the areas that are represented by the Vice Presidents and Deans on the President’s Inclusion and Diversity Executive Council.",,Institutional Infrastructure,,
,Senior Vice-President and Provost,InclusiveVT Dashboards,"InclusiveVT will facilitate public access about demographics, campus climate, and progress toward meeting the goals of InclusiveVT and the Diversity Strategic Plan. We will follow a dashboard model from UC Berkeley to construct our own. Business Enterprise Systems is now using MicroStrategy software to render dashboards for other university purposes, and we have been assured that these can be created for inclusion and diversity measures.  ",,Institutional Infrastructure,,
,Senior Vice-President and Provost,Workshops on Unconscious Bias,There is a robust literature on how unconscious bias influences the selection process in a faculty search. Increasing awareness and learning management strategies for these biases can reduce this influence and result in enhanced diversity outcomes for faculty searches. The Vice Provost for Faculty Affairs and the Faculty Affairs Team will offer workshops on unconscious bias. We will offer them university-wide twice annually (once in fall and once in spring) and will also offer a college-based search chairs session.  ,,Access and Success,,
,Senior Vice-President and Provost,"Consultation for Implementing a ""College"" Liaisons Program","The eight academic colleges have implemented a program called College Liaisons, which provides a 30-minute meeting with all candidates who come to campus to interview for a faculty position.  (The Division of Student Affairs has one department that has been using the liaison program and will extend it to all of the DSA’s departments.)  We wish to support the extension of this program to other senior management units in support of successful recruitment of faculty.  Faculty who have these liaison meetings report on the value of having a person to ask questions about work-life balance, community resources, challenges associated with minority status in our rural area, and similar topics.",,Access and Success; Campus Climate and Intergroup Relations,,
,Senior Vice-President and Provost,Collaboration- Faculty Recruitment and Retention Study,"In collaboration with Human Resources, this initiative will conduct a retention and recruitment study, with structured interviews, of all tenured and tenure track African American and Hispanic faculty",http://www.advance.vt.edu/index.html,Access and Success,,
,Senior Vice-President and Provost,AdvanceVT,"The mission of AdvanceVT is to assist Virginia Tech in preparing, recruiting, and retaining high quality and diverse faculty. To accomplish this mission, our programs are designed to facilitate success in scholarship, teaching, engagement and administration for a wide range of audiences",http://www.advance.vt.edu/index.html,Access and Success,,
,Senior Vice-President and Provost,College Liaisons,"College Liaisons support faculty recruitment efforts in each college by meeting individually with candidates to discuss Virginia Tech’s dual career resources, extend-the-tenure-clock policy, modified duties policy, commitment to diversity, community resources, and to refer candidates to appropriate resources for additional information. The role of the Liaison is designed to meet the unique needs of each college.",http://www/provost.vt.edu/faculty_affairs/faculty_recruitment/faculty_recruitment.html,Access and Success,,
,Senior Vice-President and Provost,Dual Career Program,The Dual Career Program hopes to bring a new level of support to couples and their families when considering employment opportunities within the University and the surrounding community.,http://www.provost.vt.edu/faculty_affairs/faculty_recruitment/dual_career_program.html,Access and Success,,
,Senior Vice-President and Provost,Faculty Work-Life Policies,The provost's office oversees implementation of university policies to assist faculty with the challenges of balancing professional and personal life,http://www.provost.vt.edu/faculty_affairs/faculty_work_life_policies.html,Access and Success,,
,Senior Vice-President and Provost,Future Faculty Development Program,"The 2015 Future Faculty program was held January 11-14 at Virginia Tech’s Blacksburg campus to provide participants with the opportunity to hear presentations and have candid discussions with department heads, deans, and current faculty members about faculty life and the range of responsibilities of faculty in learning, discovery, and engagement. ",http://www.provost.vt.edu/faculty_affairs/faculty_recruitment/future_faculty/future_faculty.html,Access and Success,,
,Senior Vice-President and Provost,Visiting Scholars,The Visiting Scholars Program is designed to support faculty recruitment efforts through building or expanding connections between Virginia Tech and outstanding scholars from other institutions,http://www.advance.vt.edu/resources_links/visiting_scholars.html,Access and Success,,
165,Senior Vice-President and Provost,The Women’s Center,"The mission of the Women’s Center is to promote a Virginia Tech community that is safe, equitable, and supportive for women and that celebrates their experiences, achievements, and diversity. A unit of the Office of the Provost, the Women’s Center functions in a number of areas: sponsoring and partnering on educational programs and events that raise awareness of women’s issues and celebrate women’s achievements; serving as an on-campus focal point for counseling and advocacy services related to sexual assault, relationship violence, stalking, cyberstalking and harassment; supporting leadership initiatives and opportunities for members of the Virginia Tech community; and serving as a resource for the university community on gender-related and women’s issues. Visit www.womenscenter.vt.edu and www.stopabuse.vt.edu Christine Dennis Smith, cdennis@vt.edu and Anna LoMascolo, alomasco@vt.edu.",http://www.womenscenter.vt.edu/,Campus Climate and Intergroup Relations,,
,Office of the President,Reception for Underrepresented Students Admitted to Virginia Tech,"A reception for underrepresented students who have been offered admission will be hosted by the President at The President’s Box at Lane Stadium (as part of Gateway Weekend) soon after offer letters are issued in spring semester, to expose students from underrepresented groups who have been offered admission to the welcoming and inclusive environment that exists at Virginia Tech to encourage them to accept their offer of admission.",,Access and Success,,
,Office of the President,Inclusive Search Committee Composition,"This initiative will increase diversity among university’s senior leadership by ensuring diverse composition of search committees for VP-level searches; requiring unconscious bias training for searches run through the President’s office; analyzing candidate pools to focus on identifying talent that would add to the diversity of the leadership team. The purpose is to ensure that there are no obstacles, subconscious or otherwise, to impede efforts to diversify the senior leadership of the university.",,Access and Success,,
,Office of the President,Reception Dinner for New Underrepresented Faculty,,,,,
,Virginia Tech Department of Athletics,Inclusion and Diversity Presentations,"The Athletic Department, along with the assistant of Diversity Scholar, Claudia Howell, have secured a speaker for November 2, 2015. The speaker is Hudson Taylor who is a former student-athlete that founded a group called Athlete Ally which focuses on the support and inclusion of LGBTQ student-athletes. During his visit, Hudson will meet with coaches, administrators, student-athletes and the general student body to provide public awareness, educational programming and tools and resources to foster inclusive sports communities.  The Assistant Athletic Director for Compliance and the Associate Athletic Director for Student-Athlete Development identify groups to discuss the visit to determine its impact and identify next steps.",,Education and Scholarship,,
,Virginia Tech Department of Athletics,Inclusion and Diversity Multimedia Campaign,"The Athletic Department produce 1-2 videos per academic year that will be posted on www.hokiesports.com. Additionally, these videos will be played at select athletic events throughout the academic year. The videos will also be shared with departments across campus to display on their video outlets as they so choose. Lastly, the Athletic Department will reserve space in select game programs that will illustrate the importance of inclusion and diversity concepts.",,Campus Climate and Intergroup Relations,,
,Virginia Tech Department of Athletics,Inclusion and Diversity Student Athlete Experience Surveys,"The Athletic Department is in the final stages of producing an anonymous survey for administrators, coaches and student-athletes. The survey will be distributed to all student-athletes at the beginning of the 2015-16 academic year. Surveys will be collected and analyzed over the course of the Fall. The senior staff in athletics along with the Office of Student-Athlete Development will determine the best ways to address areas of concern and improve areas of achievement.",,Campus Climate and Intergroup Relations,,
96,Virginia Tech Department of Athletics,Committee for Equal Opportunity in Athletics,"The Committee on Equal Opportunity in Athletics (the Committee) was created to fulfill a requirement stemming from the University's NCAA Division I Athletics Certification Self-Study Process (the Certification). This requirement states that Virginia Tech is required to conduct a ""Periodic review of athletics department activities for consistency with goals and objectives set forth in the institution's and athletics department's written commitments to diversity."" By forming the Committee, the Department of Athletics is ensuring that the requirement is met through periodic, comprehensive, and documented reviews. This kind of in-depth evaluation exceeds the Certification requirement by including a broadly representative group of campus citizens in the review process. The purpose of the Committee is to evaluate and update the department's primary written commitment to diversity: the Department of Athletics' Minority Opportunity Plan. The Committee will use the University's mission statement, the Department of Athletics' mission statement, the Principles of Community, appropriate portions of the Virginia Tech NCAA Division I Athletics Certification Self-Study Report, and other relevant University policies and procedures as a basis for evaluation. The Committee will annually report findings to the Commission on Equal Opportunity and Diversity (CEOD) and to the Director of Athletics. Both parties will have an opportunity to review the report and provide comments or recommendations. The Committee will consider all comments and recommendations and will finalize the report accordingly. A final report will be provided annually to the CEOD, the Director of Athletics, the Office for Equal Opportunity, and the University Athletics Committee.",http://www.athletics.vt.edu/diversity/purpose.html,Institutional Infrastructure,,
97,Virginia Tech Department of Athletics,Equity in Athletics Disclosure Act Reports,"The Equity in AthleticsData Analysis Cutting Tool is brought to you by the Office of Postsecondary Education of the U.S. Department of Education. This analysis cutting tool was designed to provide rapid customized reports for public inquiries relating to equity in athletics data. The data are drawn from the OPE Equity in Athletics Disclosure Website database. This database consists of athletics data that are submitted annually as required by the Equity in Athletics Disclosure Act (EADA), via a Web-based data collection, by all co-educational postsecondary institutions that receive Title IV funding (i.e., those that participate in federal student aid programs) and that have an intercollegiate athletics program.",http://ope.ed.gov/athletics/index.aspx,,,
,Information Technology,Improve Recruitment within Information Technology,"This initiative will launch a multi-year effort to improve recruitment within the IT organization by developing and maintaining a workforce pipeline for IT that focuses on the broad spectrum of employment, including recruitment, environment, retention, career planning, and professional development. Indeed, the IT organization had identified several work areas that closely match the priorities of the Diversity Plan, the most urgent of which have become the three major diversity and inclusion initiatives defined by IT for the coming years.",,Access and Success,,
,Information Technology,Improve Workplace Environment within Information Technology,"This initiative will launch a multi-year effort to improve the workplace environment within the IT organization in order to enhance retention of employees. To accomplish the aims of this Initiative FY15 will focus explicitly on conducting a current state assessment to identify areas for improvement and extant needs, while FY16 will primarily emphasize best practices benchmarking/confirmation of direction and implementation of improvements.   ",,Campus Climate and Intergroup Relations,,
,Information Technology,Launch University-Wide Effort to Improve Accessibility in Information Technology,"This initiative will launch a university-wide, extensively collaborative, multi-year effort to promote and enhance accessibility in information technology in order to improve the experience of individuals with disabilities at Virginia Tech. IT will actively engage the university community in advancing accessibility, via mechanisms such as the web, universal design of course materials, and assistive technologies to promote a supportive and inclusive experience for individuals with disabilities. To accomplish the aims of this initiative, IT is recommending a two- pronged approach. The first area of emphasis is seeking a university-wide improvement in web accessibility. The second area of emphasis centers on improving accessibility for other IT-provided services.",,Access and Success; Campus Climate and Intergroup Relations; Institutional Infrastructure,,
,National Capital Region,Entrepreneurial and Innovation Camps,"The NCR will host entrepreneurial and innovation camps for high school and undergraduate students, specifically targeting underrepresented populations.  The NCR will provide scholarships to select students to help fund attendance to the camps.",,Access and Success; Campus Climate and Intergroup Relations,,
,National Capital Region,Engaging Area Teachers in Integration of 3D Printing in Curricula,Targeted engagement of area teachers to train them integration of 3D printing into curricula.   Specific attention towards highly diverse schools in the National Capital Region.,,Education and Scholarship,,
,National Capital Region,Creation of Accelerated Degree Programs,"The NCR plans to create targeted accelerated degree programs and marketing toward underrepresented populations.  The NCR will work with the graduate school and colleges to craft programs from accelerated BS/MS degrees, including the 4+1 option where the +1 occurs in NCR.",,Education and Scholarship; Access and Success,,
,National Capital Region,Partnership with Continuing and Professional Education,The NCR plans to build upon current partnership and outreach activities with Continuing and Professional Education (CPE).  The NCR would like to better use the extension network and CPE activities.,Education and Scholarship; Campus Climate and Intergroup Relations,,,
,Undergraduate Academic Affairs,Undergraduate Research Mentoring Program,"Undergraduate Academic Affairs has several ongoing projects related to undergraduate research mentoring, including a Bridges to Baccalaureate project funded by National Institutes of Health, Multicultural Academic Opportunities Program, and programs initiated by the Office of Undergraduate Research.  Our goal would be to extend these opportunities to more students through collaboration across the university.",,Access and Success; Education and Scholarship,,
,Undergraduate Academic Affairs,Integrative Learning Outcomes and Indicators Acrross the Pathways General Education Curriculum for Intercultural Global Knowledge,"General Education comprises the common learning experience for all undergraduate students at Virginia Tech.  By integrating Intercultural and Global Awareness learning outcomes and indicators across the curriculum, we will ensure that all Virginia Tech students experience course content and learning experiences related to inclusion and diversity in multiple courses. Indicators of Learning: 1. Identify advantages of diversity and inclusion in communities and organizations; 2. Interpret an intercultural experience from both one’s own and another 's worldview. 3. Address significant global challenges and opportunities in the natural and human world.",http://www.pathways.prov.vt.edu/,Education and Scholarship,,
,Undergraduate Academic Affairs,"Advising Matters Conference 2015, Updating Your Toolbox: Stratagies for Advising Special Populations","The Virginia Tech Advising Matters Conference is a one-day conference featuring a series of presentations from leaders in advising. Conference sessions will provide guidance for advising a diverse representation of special populations to include (but not limited to) students with disabilities, first-generation, first-year, international, at-risk populations, undeclared, veterans, etc.","Access and Success, Education and Scholarship",Access and Success; Education and Scholarship,,
,Undergraduate Academic Affairs,Student Success Center,"The Student Success Center offers free academic support, such as tutoring and study skills seminars to undergraduate students at Virginia Tech. We also have programs and activities for students who are already succeeding academically, and simply want to enrich their educational experiences at Virginia Tech.",https://www.studentsuccess.vt.edu/,Access and Success,,
187,Undergraduate Academic Affairs,Commonwealth of Scholars (COS),"COS is a selective honors organization designed to enrich the intellectual development and academic experience of qualified students. Jessica Grimes, jessicagrimes@vt.edu.",,,,
169,Undergraduate Academic Affairs,Parent Talk,"Parent Talk is an information session that addresses academic support and campus climate issues, specifically as it relates to under-represented students. Parent Talk is held on Family Day in the fall semester.",,,,
192,Undergraduate Academic Affairs,Student African-American Brotherhood (SAAB),"SAAB targets male students of African descent to assist in developing a complete understanding of their responsibilities as college students and citizens. SAAB men strive to empower themselves and the community by embracing the principles of accountability, proactive leadership, self- discipline, and intellectual development. Karen Eley Sanders, kesanders@vt.edu.",,,,
193,Undergraduate Academic Affairs,Student African-American Sisterhood (SAAS),"SAAS seeks to enhance the academic success and unification of sisters at Virginia Tech regardless of age educational level, sorority affiliation, or background. SAAS strives to enrich the educational experience of Black and Brown females through unity, academic excellence, service, and support. Karen Eley Sanders, kesanders@vt.edu.",,,,
198,Undergraduate Academic Affairs,Virginia Tech Opportunity and Pipeline Programs,"VT Opportunity & Pipeline Programs is an institutional effort to enhance access and success in higher education for first-generation, low-income, minority, and other under- served students in the educational pipeline. Mary Grace Campos, mcampos@vt.edu",,,,
